symbol1,symbol2
NAGPA,AP2A1
AMPH,AP2A2
EPS15,AP2A2
NUMB,AP2A2
SHC1,AP2A2
EGFR,AP2A2
UBC,AP2A2
SMAD1,AP2A2
GRB2,AP2A2
RNF126,AP2A2
CLTC,AP2A2
MYO6,AP2A2
YBX1,AP2A2
EPN1,AP2A2
BIN1,AP2A2
TERF2,AP2A2
UTP25,AP2A2
OCRL,AP2A2
TNRC6A,AP2A2
DNAJC6,AP2A2
AP2A2,AP2A2
AAGAB,AP2A2
SNAP91,AP2A2
SLC2A8,AP2A2
AMPH,AMPH
DNM3,AMPH
KHDRBS1,AMPH
CDK1,AMPH
SYNM,AMPH
UBC,AMPH
TP73,AMPH
CALM1,AMPH
ITSN2,AMPH
DYRK1A,AMPH
TNK2,AMPH
SYN1,AMPH
PTK2,AMPH
CDK5,AMPH
CABIN1,AMPH
SH3GLB1,AMPH
NECAP1,AMPH
MANEA,AMPH
AMPH,CEP63
DTNB,CEP63
DLG5,CEP63
MACF1,CEP63
DST,CEP63
NCOR2,CEP63
NCOR1,CEP63
EXOC4,CEP63
TRIM21,CEP63
USHBP1,CEP63
EZH2,CEP63
PPP1R13B,CEP63
GPS2,CEP63
HSF1,CEP63
NIPBL,CEP63
PCM1,CEP63
ZCCHC10,CEP63
PHF21A,CEP63
JMY,CEP63
DISC1,CEP63
SYNE1,CEP63
DZIP3,CEP63
ARNT2,CEP63
PDCD7,CEP63
PPP4R1,CEP63
TRIM24,CEP63
THOC2,CEP63
HAUS1,CEP63
CEP57L1,CEP63
KANSL2,CEP63
PITPNA,CEP63
SYNE2,CEP63
FAM161A,CEP63
FBF1,CEP63
SSX3,CEP63
EPC1,CEP63
NFE2L1,CEP63
FAM184A,CEP63
PRKAR2B,CEP63
EPC2,CEP63
USP48,CEP63
AMPH,PLD2
CAV1,PLD2
APP,PLD2
EGFR,PLD2
MTOR,PLD2
RPS6KB1,PLD2
RAC2,PLD2
EGLN1,PLD2
CFL1,PLD2
SRC,PLD2
BIN1,PLD2
VHL,PLD2
RPTOR,PLD2
DPYSL2,PLD2
OPRM1,PLD2
PIP5K1A,PLD2
AMPH,PLD1
PKN3,PLD1
CDC42,PLD1
CAV1,PLD1
EGFR,PLD1
FANCG,PLD1
ARF1,PLD1
EGLN1,PLD1
CFL1,PLD1
PLCG2,PLD1
RALA,PLD1
SRC,PLD1
BIN1,PLD1
PRKCA,PLD1
VHL,PLD1
TCF3,PLD1
TP53BP1,PLD1
STXBP1,PLD1
PLD1,PLD1
ARIH1,PLD1
C17orf97,PLD1
ASCL4,PLD1
INCA1,PLD1
ESRP1,PLD1
SPIRE1,PLD1
SYNC,PLD1
PIP5K1A,PLD1
AMPH,SH3GL2
ITSN1,SH3GL2
SH3GL2,SH3GL2
SYNM,SH3GL2
CBL,SH3GL2
SH3KBP1,SH3GL2
CALM1,SH3GL2
PAXIP1,SH3GL2
ADAM15,SH3GL2
ADAM9,SH3GL2
MAST2,SH3GL2
SH3GL3,SH3GL2
ADRB1,SH3GL2
DNM1,SH3GL2
DPPA4,SH3GL2
DLGAP4,SH3GL2
PTPN23,SH3GL2
GSTM3,SH3GL2
PRR14,SH3GL2
ARNT2,SH3GL2
PAK2,SH3GL2
ASAP1,SH3GL2
ZXDC,SH3GL2
MAP4K3,SH3GL2
DACT1,SH3GL2
TIAM2,SH3GL2
TMEM108,SH3GL2
ADRA2B,SH3GL2
ADRA2A,SH3GL2
CHRM4,SH3GL2
ADRB3,SH3GL2
HRH1,SH3GL2
HRH3,SH3GL2
DRD3,SH3GL2
CHRM2,SH3GL2
SLC17A7,SH3GL2
ADGRB2,SH3GL2
AMPH,VTN
CSNK2A1,VTN
CRADD,VTN
PRKACA,VTN
ITGB3,VTN
C1QBP,VTN
NEK1,VTN
CD247,VTN
UBQLN2,VTN
PLAUR,VTN
RPL13A,VTN
GEM,VTN
PRKCA,VTN
DLG3,VTN
PRKCG,VTN
CBX1,VTN
VTN,VTN
PRKCB,VTN
ITGB8,VTN
DLG2,VTN
PRDX4,VTN
CKS2,VTN
ETV7,VTN
FAM20C,VTN
HGF,VTN
CFAP410,VTN
SNTG1,VTN
IGFBP5,VTN
ITGB6,VTN
LACRT,VTN
ITGA8,VTN
TNFRSF11B,VTN
AMPH,CLTC
YWHAZ,CLTC
ITSN1,CLTC
SYNJ1,CLTC
OPTN,CLTC
TP53,CLTC
GGA1,CLTC
GGA3,CLTC
FYN,CLTC
BCR,CLTC
YWHAQ,CLTC
GJA1,CLTC
AKT1,CLTC
QARS1,CLTC
YWHAG,CLTC
NR3C1,CLTC
PRKACA,CLTC
RAC1,CLTC
SNX9,CLTC
CLTC,CLTC
PPP1CC,CLTC
PPP1CA,CLTC
MYB,CLTC
EP300,CLTC
DYRK1A,CLTC
AP1G1,CLTC
XRCC6,CLTC
MAP1LC3A,CLTC
SUMO2,CLTC
ADRB2,CLTC
GGA2,CLTC
TOM1,CLTC
U2AF2,CLTC
VCL,CLTC
SCYL2,CLTC
TOM1L2,CLTC
ARF6,CLTC
PDGFRB,CLTC
BIN1,CLTC
CLTB,CLTC
ITGA4,CLTC
PCM1,CLTC
SF1,CLTC
LDLRAP1,CLTC
GRIN1,CLTC
GRIN2D,CLTC
PXN,CLTC
WNK1,CLTC
SNCA,CLTC
OCRL,CLTC
ATG16L1,CLTC
AP3D1,CLTC
HDAC5,CLTC
PRKCB,CLTC
MYBL2,CLTC
ARRB1,CLTC
RICTOR,CLTC
EHD1,CLTC
EPHA2,CLTC
KIT,CLTC
HERC1,CLTC
CLTA,CLTC
SVIL,CLTC
MAP3K10,CLTC
ABCC2,CLTC
ERG,CLTC
ACO1,CLTC
NCALD,CLTC
PICALM,CLTC
DUX4,CLTC
AVPR2,CLTC
STX2,CLTC
ANKRD55,CLTC
SMAP1,CLTC
AP3B1,CLTC
ARR3,CLTC
ATP4A,CLTC
AMPH,CDK5R1
CDK9,CDK5R1
CDK3,CDK5R1
SIAH1,CDK5R1
CDK4,CDK5R1
CAPN2,CDK5R1
CTNNB1,CDK5R1
SET,CDK5R1
PPP1R9B,CDK5R1
SLC25A11,CDK5R1
CDK5RAP1,CDK5R1
GSK3B,CDK5R1
CDK6,CDK5R1
PIAS4,CDK5R1
HDAC1,CDK5R1
NEDD4,CDK5R1
CHN1,CDK5R1
TSC22D4,CDK5R1
THAP7,CDK5R1
C11orf65,CDK5R1
DNMT1,CDK5R1
CAMTA2,CDK5R1
NOTCH2NLA,CDK5R1
CDK5R1,CDK5R1
CDK5RAP3,CDK5R1
NEK6,CDK5R1
CDK16,CDK5R1
TPX2,CDK5R1
LMTK2,CDK5R1
CAPN1,CDK5R1
PRAM1,CDK5R1
CRELD2,CDK5R1
MAGEA2B,CDK5R1
MAGEA2,CDK5R1
MYBPHL,CDK5R1
ODF1,CDK5R1
RAB3C,CDK5R1
MYNN,CDK5R1
DNASE1L1,CDK5R1
EPCAM,CDK5R1
TTBK1,CDK5R1
AMPH,ITSN1
SOS1,ITSN1
ITSN1,ITSN1
KHDRBS1,ITSN1
CBL,ITSN1
TSG101,ITSN1
